,Tick,nombre,curr_id,smlID,header
0,DJUSAE,dj-aerospace---defense,19977,2039693,Dow Jones Aerospace &amp; Defense Historical Data
1,DJUSAF,dj-delivery-services,20029,2040317,Dow Jones Delivery Services Historical Data
2,DJUSAG,dj-asset-managers,20008,2040065,Dow Jones Asset Managers Historical Data
3,DJUSAI,dj-electronic-equipment,20037,2040413,Dow Jones Electronic Equipment Historical Data
4,DJUSAL,dj-aluminum,20006,2040041,Dow Jones Aluminum Historical Data
5,DJUSAM,dj-medical-equipment,20067,2040773,Dow Jones Medical Equipment Historical Data
6,DJUSAP,dj-automobiles---parts,19962,2039513,Dow Jones Automobiles &amp; Parts Historical Data
7,DJUSAR,dj-airlines,20005,2040029,Dow Jones Airlines Historical Data
8,DJUSAS,dj-aerospace,20004,2040017,Dow Jones Aerospace Historical Data
9,DJUSAT,dj-auto-parts,20009,2040077,Dow Jones Auto Parts Makers Historical Data
10,DJUSAU,dj-automobiles,20010,2040089,Dow Jones Automobiles Historical Data
11,DJUSAV,dj-media-agencies,20066,2040761,Dow Jones Media Agencies Historical Data
12,DJUSBC,dj-broadcasting---entertainment,20013,2040125,Dow Jones Broadcasting &amp; Entertainment Historical Data
13,DJUSBD,dj-building-materials---fixtures,20015,2040149,Dow Jones Building Materials &amp; Fixtures Historical Data
14,DJUSBE,dj-business-training---employment,20017,2040173,Dow Jones Business Training &amp; Employment Agencies Historical Data
15,DJUSBK,dj-banks,19963,2039525,Dow Jones Banks Historical Data
16,DJUSBM,dj-basic-materials,19954,2039417,Dow Jones Basic Materials Historical Data
17,DJUSBS,dj-basic-resources,19964,2039537,Dow Jones Basic Resources Historical Data
18,DJUSBT,dj-biotechnology,20011,2040101,Dow Jones Biotechnology Historical Data
19,DJUSBV,dj-beverages,19978,2039705,Dow Jones Beverages Historical Data
20,DJUSCA,dj-gambling,20047,2040533,Dow Jones Gambling Historical Data
21,DJUSCC,dj-commodity-chemicals,20021,2040221,Dow Jones Commodity Chemicals Historical Data
22,DJUSCF,dj-clothing---accessories,20018,2040185,Dow Jones Clothing &amp; Accessories Historical Data
23,DJUSCG,dj-travel---leisure,20003,2040005,Dow Jones Travel &amp; Leisure Historical Data
24,DJUSCH,dj-chemicals,19965,2039549,Dow Jones Chemicals Historical Data
25,DJUSCL,dj-coal,20019,2040197,Dow Jones Coal Historical Data
26,DJUSCM,dj-personal-products,20077,2040893,Dow Jones Personal Products Historical Data
27,DJUSCN,dj-construction---materials,19966,2039561,Dow Jones Construction &amp; Materials Historical Data
28,DJUSCP,dj-containers---packaging,20026,2040281,Dow Jones Containers &amp; Packaging Historical Data
28,DJUSCR,dj-computer-hardware,20022,2040233,Dow Jones Computer Hardware Historical Data
29,DJUSCS,dj-special-consumer-services,20095,2041109,Dow Jones Specialized Consumer Services Historical Data
30,DJUSCT,dj-telecommunications-equipment,20100,2041169,DowJones Telecommunications Equipment Historical Data
31,DJUSCX,dj-specialty-chemicals,20096,2041121,Dow Jones Specialty Chemicals Historical Data
32,DJUSCY,dj-consumer-services,19956,2039441,Dow Jones Consumer Services Historical Data
33,DJUSDB,dj-brewers,20012,2040113,Dow Jones Brewers Historical Data
